absoluteMagnitude,,,
nomenclator,,,
number,,,
numberOf,,,
occupier,,,tenant
occursIn,takePlace,,
occursOn,takePlace,,
openedOn,,"activeYearsStartYear
takePlace",
openingWork,,,"openingFilm
openingTheme"
opponent,opponent,,
orbitalPeriod,,,
originalWork,,,
owner,,keyPerson,owningOrganization
paint,,,
painter,,"artist
creator",illustrator
paragraph,,,
participant,,,pastMember
participate,,,
partner,"alliance
spouse
partner",,
performer,,artist,"starring
musicians"
perihelion,,,
placedIn,"place
position
region
locatedInArea
locationCountry
location",,
playedIn,league,takePlace,
player,,artist,"starring
musicians"
playwriter,,"artist
author
creator",
populationDensity,,,
position,"class
rank
order
place
position
region
locatedInArea
locationCountry
category
domain
location",,militaryRank
president,"president
chairPerson","keyPerson
leaderName
leader","vicePresident
mayor
provost"
previous,,,"pastMember
predecessor
formerTeam
previousMission"
principle,,,
problem,,,
procedure,,,
produce,product,,"significantBuilding
significantDesign
significantProject
album"
producer,"creativeDirector
director
manufacturer","artist
creator","builder
engineer
designCompany
illustrator
musicians
architect
author
composer
designer
developer
executiveProducer"
promotedOn,,"activeYearsStartYear
serviceStartYear
takePlace",
publish,,,
publishedIn,,takePlace,
publishedOn,,takePlace,
publisher,,manufacturer,
punishment,,,
quantity,,,
range,,,
ranking,"rank
order
position
ranking",,militaryRank
realName,,,
record,"recordLabel
album",,mostWins
recordedIn,,takePlace,
recording,"recordLabel
album",,
related,,,
relatedEvent,associatedAct,,isPartOfMilitaryConflict
relatedPerson,,,"influenced
influencedBy
keyPerson"
release,,,album
releasedOn,,"activeYearsStartYear
serviceStartYear
takePlace",
relegation,,,
religion,,,denomination
remains,,,
representativeStar,starring,"constellation
artist",
requirement,,,
researchDomain,academicDiscipline,"field
domain",
resemble,,,
result,,,
rightAscension,,,
role,position,,
rule,,,
runners-up,,award,
runningTime,,,
salary,,,
scientificName,binomial,,
scorer,,keyPerson,
shortName,,,
sister,,family,sisterNewspaper
son,,"family
child",
song,,album,anthem
songwriter,composer,"musicians
artist
creator",
sonInLaw,,family,
source,"source
origin",,"sourcePlace
outflow
sourceCountry
sourceMountain
sourceRegion"
sp_intersects,crosses,,
sp_overlaps,,,
sp_touches,,,
startedOn,,takePlace,"birthDate
birthYear
startReign
activeYearsStartYear
serviceStartYear"
state,,,
stockholder,,,
style,format,,bodyStyle
subCelestialBody,,,
subEvent,,,
subLocation,,"place
position
region
locatedInArea
locationCountry
location",
subName,,,
subSpaceEntity,,,
subWork,,,
supporter,"alliance
partner",,
symbol,,,
symbolColor,,colour,
symptom,,,
target,,,
teacher,,influencedBy,doctoralAdvisor
thirdPlace,,award,
thronedOn,startReign,"activeYearsStartYear
serviceStartYear
takePlace",
topic,,,nonFictionSubject
topScorer,mostWins,"award
keyPerson",
translator,translator,,
type,"category
domain",,"class
family
genus
phylum
mediaType
governmentType
kingdom"
use,uses,,
usedFor,uses,,
user,,,usingCountry
usingMethod,,,
validatedOn,,takePlace,
version,,,
victim,,,
weight,,,
width,,,
wife,,"family
spouse
partner",
winner,,"award
keyPerson",
work,,,"recordLabel
significantBuilding
significantDesign
significantProject
album"
write,,,
writer,author,"artist
creator",
writeWords,,,
writingStyle,,format,
zipCode,,,
